;Alin hyväksytty pistemäärä;Ylin hyväksytty pistemäärä
Artenomi (ylempi AMK), sosiaali- ja terveysala (ylempi AMK), kulttuuri- ja taidetoiminta hyvinvoinnin edistäjänä, kevään yhteishaku;21,00;96,00
Bachelor of Business Administration, Computer Applications, full-time studies, Joint application;38,85;52,85
Bachelor of Business Administration, International Business, full-time studies, Joint application;23,35;51,25
Bachelor of Business Administration, International Business, part-time studies, Joint application;16,20;44,10
Bachelor of Culture and Arts, Smart and Sustainable Design, full-time studies, Joint application;61,00;100,00
Bachelor of Engineering, Construction Engineering, full-time studies, Joint application;42,40;64,40
Bachelor of Engineering, Electrical and Automation Engineering, full-time studies, Joint application;15,90;63,90
Bachelor of Engineering, Information and Communication Technology, Circular Economy, full-time studies, Joint application;50,65;63,55
Bachelor of Engineering, Information and Communication, Robotics, full-time studies, Joint application;54,40;63,20
Bachelor of Engineering, Mechanical Engineering and Production Technology, full-time studies, Joint application;20,35;60,40
Bachelor of Engineering, Sustainable Urban Design, full-time studies, Joint application;20,50;47,30
Bachelor of Health Care, Health Care, Nursing, full-time studies, Joint application;49,75;78,70
Bachelor of Natural Resources, Climate Smart Agriculture, full-time studies, Joint application;32,70;46,05
Bachelor of Natural Resources, Professional Horticulture, full-time studies, Joint application;12,35;46,05
Bachelor of Natural Resources, Sustainable Forest Management, full-time studies, Joint application;14,25;53,80
Hortonomi (AMK), puutarhatalous, kevään yhteishaku;60,00;233,86
Hortonomi (AMK), rakennettu ympäristö, kevään yhteishaku;67,00;274,38
Insinööri (AMK), bio- ja elintarviketekniikka, kevään yhteishaku;60,00;308,75
Insinööri (AMK), konetekniikka, monimuotototeutus, kevään yhteishaku;100,00;375,35
Insinööri (AMK), konetekniikka, päivätoteutus;58,00;283,10
Insinööri (AMK), konetekniikka, päivätoteutus, kevään yhteishaku;67,00;289,08
Insinööri (AMK), liikenneala, monimuotototeutus, kevään yhteishaku;109,00;363,84
Insinööri (AMK), liikenneala, päivätoteutus, kevään yhteishaku;73,00;290,47
Insinööri (AMK), rakennus- ja yhdyskuntatekniikka, monimuotototeutus;105,00;360,76
Insinööri (AMK), rakennus- ja yhdyskuntatekniikka, päivätoteutus, kevään yhteishaku;52,00;265,14
Insinööri (AMK), sähkö- ja automaatiotekniikka, monimuotototeutus;87,00;316,06
Insinööri (AMK), sähkö- ja automaatiotekniikka, päivätoteutus, kevään yhteishaku;53,00;288,27
Insinööri (AMK), tieto- ja viestintätekniikka, kiertotalous, monimuotototeutus, kevään yhteishaku;53,00;299,65
Insinööri (AMK), tieto- ja viestintätekniikka, kiertotalous, päivätoteutus, kevään yhteishaku;45,00;207,77
Insinööri (AMK), tieto- ja viestintätekniikka, monimuotototeutus, kevään yhteishaku;127,00;370,24
Insinööri (AMK), tieto- ja viestintätekniikka, päivätoteutus;79,00;360,00
Insinööri (AMK), tieto- ja viestintätekniikka, päivätoteutus, kevään yhteishaku;98,00;368,00
Insinööri (ylempi AMK), teknologiaosaamisen johtaminen, kevään yhteishaku;50,00;85,00
Insinööri (ylempi AMK), tietojohtaminen ja älykkäät palvelut, kevään yhteishaku;60,00;90,00
Insinööri (ylempi AMK), tulevaisuuden liikennejärjestelmät, kevään yhteishaku;50,00;100,00
Luonnonvara-ala (ylempi AMK), insinööri (ylempi AMK), biotalouden ratkaisut, kevään yhteishaku;30,00;90,00
Master of Business Administration, Management in Sustainable Business, Joint application;40,00;75,00
Metsätalousinsinööri (AMK), metsätalous, kevään yhteishaku;61,00;239,02
Rakennusmestari (AMK), päivätoteutus, kevään yhteishaku;42,00;300,25
Rakennusmestari (AMK), rakennus- ja yhdyskuntatekniikka, monimuotototeutus;251,32;352,28
Sairaanhoitaja (AMK), monimuotototeutus, Forssa;48,00;314,92
Sairaanhoitaja (AMK), monimuotototeutus, Forssa, kevään yhteishaku;25,00;325,74
Sairaanhoitaja (AMK), monimuotototeutus, Hämeenlinna, kevään yhteishaku;60,00;344,81
Sairaanhoitaja (AMK), päivätoteutus, Hämeenlinna, kevään yhteishaku;35,00;360,68
Sosiaali- ja terveysala (ylempi AMK), luonnonvara-ala (ylempi AMK), tradenomi (ylempi AMK), luontoympäristöt ja hyvinvoinnin edistäminen, kevään yhteishaku;35,00;100,00
Sosiaali- ja terveysala (ylempi AMK), sosiaali- ja terveysalan kehittäminen ja johtaminen, kevään yhteishaku;20,00;93,00
Sosionomi (AMK), monimuotototeutus, kevään yhteishaku;89,00;425,67
Sosionomi (AMK), muuntokoulutus 90-120 op;27,50;38,50
Sosionomi (AMK), päivätoteutus, kevään yhteishaku;97,00;369,15
Terveydenhoitaja (AMK), muuntokoulutus 60 op;35,00;39,00
Terveydenhoitaja (AMK), päivätoteutus, kevään yhteishaku;87,00;333,97
Tradenomi (AMK), hevosalan liiketoiminta, monimuotototeutus;28,00;200,97
Tradenomi (AMK), liiketalous, monimuotototeutus, kevään yhteishaku;96,00;263,84
Tradenomi (AMK), liiketalous, muuntokoulutus 90-120 op;39,25;40,00
Tradenomi (AMK), liiketalous, päivätoteutus, kevään yhteishaku;93,00;227,24
Tradenomi (AMK), tietojenkäsittely, monimuotototeutus, kevään yhteishaku;88,00;283,68
Tradenomi (AMK), tietojenkäsittely, muuntokoulutus 75 op - 90 op, kevään yhteishaku;22,00;40,00
Tradenomi (AMK), tietojenkäsittely, päivätoteutus, kevään yhteishaku;68,00;219,29
Tradenomi (ylempi AMK), liiketoiminnan kehittäminen, kevään yhteishaku;49,00;85,00
Ympäristösuunnittelija (AMK), kestävä kehitys, monimuotototeutus, kevään yhteishaku;82,00;274,36
Ympäristösuunnittelija (AMK), kestävä kehitys, päivätoteutus, kevään yhteishaku;24,00;206,28
Itä-Suomen yliopisto;;
Aikaisemmat opinnot, ml. avoimen yliopiston opinnot, Julkisoikeus, Joensuu (3 v + 2 v);?;?
Aineenopettaja ja luokanopettaja, matematiikka, fysiikka tai kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);36,50;71,00
Aineenopettaja, matematiikka, fysiikka, kemia tai tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);41,50;60,50
Avoimen yliopiston väylä, Julkisoikeus, Joensuu (3 v);?;?
Bachelor's programme in Information Technology, Joensuu, Bachelor of Science (3 years);96,40;138,70
Bachelor's programme in Information Technology, Kuopio, Bachelor of Science (3 years);94,28;138,70
Bachelor's programme in Lifelong Learning and Sustainable Development, Joensuu, Bachelor of Arts (Education) (3 years);4,04;20,50
Bachelor's programme in Sustainable Forest Bioeconomy, Joensuu, Bachelor of Science (Agriculture and Forestry) (3 years);61,25;98,75
Biolääketiede, Kuopio, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);41,00;182,90
Englannin kieli, kulttuuri ja kääntäminen, Joensuu, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);37,28;111,90
Erityisluokanopettaja ja erityisopettaja, Joensuu, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);76,00;103,00
Erityisopettaja, Joensuu, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);82,00;103,00
Farmaseutin koulutusohjelma, Kuopio, farmaseutti (3 v);3,50;150,00
Fotoniikka, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;15,00;105,00
Hammaslääketiede, Kuopio, hammaslääketieteen lisensiaatti (5,5 v), hammaslääketieteen yhteisvalinta;120,75;180,40
Historia, Joensuu, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);45,00;118,70
Hoitotiede, hoitotyön johtaminen, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);15,00;26,25
Hoitotiede, preventiivinen hoitotiede, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);15,00;25,50
Hoitotiede, terveystieteiden opettajankoulutus, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);17,25;26,50
Imaging and Light in Extended Reality IMLEX, Joensuu, Master of Science (Erasmus Mundus Japan) (2 years);?;?
Julkisoikeus, Joensuu, hallintotieteiden kandidaatti ja maisteri (3 v + 2 v);72,03;121,10
Kasvatustiede ja aikuiskasvatustiede, Joensuu, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);23,50;86,30
Kauppatieteet, Joensuu, kauppatieteiden kandidaatti ja maisteri (3 v + 2 v) (Kauppatieteellisen alan yhteisvalinta);20,47;115,10
Kauppatieteet, Kuopio, kauppatieteiden kandidaatti ja maisteri (3 v + 2 v) (Kauppatieteellisen alan yhteisvalinta);21,94;127,50
Kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);21,00;80,90
Kestävät teknologiat, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;19,00;82,10
Kotitalousopettaja, Joensuu, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);61,00;103,00
Kulttuurintutkimus, Joensuu, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);16,00;105,40
Käsityönopettaja, monimateriaalinen käsityö, Joensuu, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);49,00;89,50
Liiketaloustiede ja tietojenkäsittelytiede, Joensuu, kauppatieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);43,33;89,40
Liiketaloustiede ja tietojenkäsittelytiede, Kuopio, kauppatieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);52,67;109,00
Liikuntalääketiede ja terveysliikunta, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);56,20;128,60
Logopedia, Joensuu, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);62,90;132,80
Luokanopettaja, Joensuu, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);66,00;100,00
Läntinen teologia, opetusala, Joensuu, teologian kandidaatti ja maisteri (3 v + 2 v);44,50;68,50
Läntinen teologia, teologi, Joensuu, teologian kandidaatti ja maisteri (3 v + 2 v);2,50;137,80
Lääketiede, Kuopio, lääketieteen lisensiaatti (6 v), lääketieteen yhteisvalinta;136,30;199,00
Maantiede ja ympäristöpolitiikka, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri tai yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);51,00;117,00
Maisterihaku, Asiakirjahallinnan ja arkistoalan maisteriohjelma, Joensuu, filosofian maisteri (2 v);19,00;32,00
Maisterihaku, Biologia, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Englannin kieli ja kääntäminen, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Erityisopettaja, Joensuu, kasvatustieteen maisteri (2 v);2,00;54,50
Maisterihaku, Historia, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Hyvinvointi yhteiskunnassa, Kuopio, yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Innovaatiojohtaminen, Kuopio, kauppatieteiden maisteri (2 v);70,00;105,00
Maisterihaku, Julkisoikeus, Joensuu, hallintotieteiden maisteri (2 v);4,00;5,00
Maisterihaku, Kasvatustiede ja aikuiskasvatustiede, Joensuu, kasvatustieteen maisteri (2 v);30,00;41,00
Maisterihaku, Kulttuurintutkimus, erikoistumisalana Mediakulttuuri ja viestintä (AMK-väylä), Joensuu, filosofian maisteri (2 v);4,16;4,57
Maisterihaku, Kulttuurintutkimus, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Laskentatoimi ja yritysjuridiikka, Joensuu, kauppatieteiden maisteri (2 v);68,00;127,00
Maisterihaku, Laskentatoimi, Joensuu, kauppatieteiden maisteri (2 v);59,00;81,00
Maisterihaku, Laskentatoimi, Kuopio, kauppatieteiden maisteri (2 v);55,00;72,00
Maisterihaku, Liikuntalääketiede ja terveysliikunta, Kuopio, terveystieteiden maisteri (2 v);?;?
Maisterihaku, Luokanopettaja, Joensuu, kasvatustieteen maisteri (2 v);15,68;26,34
Maisterihaku, Läntinen teologia, teologi, Joensuu, teologian maisteri (2 v);?;?
Maisterihaku, Maantiede, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Matematiikka, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Metsätiede, Joensuu, maatalous- ja metsätieteiden maisteri (2 v);3,86;4,75
Maisterihaku, Moderni johtaminen, Joensuu, kauppatieteiden maisteri (2 v);65,00;111,00
Maisterihaku, Oikeustiede, Joensuu, oikeustieteen maisteri (2 v);18,75;19,75
Maisterihaku, Opinto-ohjaaja ja uraohjaaja, Joensuu, kasvatustieteen maisteri (2 v);64,00;77,00
Maisterihaku, Proviisorin koulutusohjelma, Kuopio, proviisori (2 v);26,75;32,75
Maisterihaku, Rahoitus, Kuopio, kauppatieteiden maisteri (2 v);60,00;86,00
Maisterihaku, Ravitsemustiede, Kuopio, terveystieteiden maisteri (2 v);?;?
Maisterihaku, Ruotsin kieli, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Sosiaali- ja terveydenhuollon tiedonhallinnan maisteriohjelma, Kuopio, terveystieteiden tai yhteiskuntatieteiden maisteri (2 v);9,00;26,00
Maisterihaku, Sosiaali- ja terveyshallintotieteen maisteriohjelma, Kuopio, terveystieteiden tai yhteiskuntatieteiden maisteri (2 v);4,20;6,80
Maisterihaku, Sosiaalipsykologia, Kuopio, yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Sosiaalityö, Kuopio, yhteiskuntatieteiden maisteri (2 v);10,97;14,03
Maisterihaku, Sosiologia, Joensuu, yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Suomen kieli, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Teknillinen fysiikka, Kuopio, diplomi-insinööri (2 v);?;?
Maisterihaku, Terveystaloustieteen maisteriohjelma, Kuopio, terveystieteiden maisteri (2 v);10,00;16,00
Maisterihaku, Tietojenkäsittelytiede, Joensuu, filosofian maisteri (2 v);25,00;120,00
Maisterihaku, Tietojenkäsittelytiede, Kuopio, filosofian maisteri (2 v);61,00;160,00
Maisterihaku, Varhaiskasvatuksen erityisopettaja, Joensuu, kasvatustieteen maisteri (2 v);20,75;26,50
Maisterihaku, Varhaiskasvatus, Joensuu, kasvatustieteen maisteri (2 v);14,18;20,00
Maisterihaku, Venäjän kieli ja kulttuuri, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Venäjän kieli ja kääntäminen, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Väestön terveyden edistäminen, Kuopio, terveystieteiden maisteri (2 v);?;?
Maisterihaku, Yhteiskuntamaantiede, Joensuu, yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Yleinen kielitiede ja kieliteknologia, Joensuu, filosofian maisteri (2 v);?;?
Maisterihaku, Ympäristöpolitiikka, Joensuu, yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Ympäristötiede, Kuopio, filosofian maisteri (2 v);?;?
Master´s programme in Accounting and Finance, Kuopio, Master of Science (Economics and Business Administration) (2 years);?;?
Master´s programme in Biomedicine, Kuopio, Master of Science (2 years);14,25;16,25
Master´s programme in Digital Marketing and Analytics, Joensuu, Master of Science (Economics and Business Administration) (2 years);?;?
Master´s programme in Digital Marketing and Analytics, Kuopio, Master of Science (Economics and Business Administration) (2 years);?;?
Master´s programme in Environmental Policy and Law, Joensuu, Master of Laws, Master of International and Comparative Law (MICL), Master in Social Sciences (MSocSc) (2 years);?;?
Master´s programme in International Business and Sales Management, Kuopio, Master of Science (Economics and Business Administration) (2 years);?;?
Master´s programme in Public Health, Kuopio, Master of Health Sciences (2 years);?;?
Master´s programme in Sustainability Leadership, Kuopio, Master of Science (Economics and Business Administration) (2 years);?;?
Master´s programme in Tourism Marketing and Management, Joensuu, Master of Science (Economics and Business Administration) (2 years);?;?
Master´s programme in Toxicology, Kuopio, Master of Science (2 years);?;?
Master's programme in Biology of Environmental Change, Joensuu, Master of Science (2 years);?;?
Master's programme in Early Language Education for Intercultural Communication, Joensuu, Master of Arts (Education) (2 years);?;?
Master's programme in English Language and Culture, Joensuu, Master of Arts (2 years);?;?
Master's programme in Environmental and Ecosystem Ecology, Kuopio, Master of Science (Environmental Science) (2 years);?;?
Master's programme in Environmental Health and Technology, Kuopio, Master of Science (2 years);?;?
Master's programme in European Forestry, Joensuu, Master of Science (Forestry) (2 years);?;?
Master's programme in Forestry (MDP FOR and TransFor-M), Joensuu, Master of Science (Forestry) (2 years);?;?
Master's programme in Information Technology, Joensuu, Master of Science (Computer Science) (2 years);?;?
Master's programme in Linguistic Data Sciences, Joensuu, Master of Arts (2 years);?;?
Master's programme in Medical Physics, Kuopio, Master of Science (Technology) (2 years);?;?
Master's programme in Pedagogy and Teaching for Sustainability, Joensuu,  Master of Arts (Edcuation) (2 years);?;?
Master's programme in Photonics, Joensuu, Master of Science (Technology) (2 years);?;?
Master's programme in Research Chemists, Joensuu, Master of Science (Chemistry) (2 years);?;?
Matematiikka, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);27,50;77,80
Metsätiede, Joensuu, maatalous- ja metsätieteiden kandidaatti ja maisteri (3 v + 2 v);15,00;109,90
Oikeusguru-kilpailun perusteella hakevien valinta, Oikeustiede, Joensuu (3 v + 2 v);?;?
Oikeustiede, Joensuu, oikeusnotaari ja oikeustieteen maisteri (3 v + 2 v);56,00;140,90
Opinto-ohjaaja ja uraohjaaja, Joensuu, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);70,00;108,00
Proviisorin koulutusohjelma, Kuopio, farmaseutti ja proviisori (3 v + 2 v);19,75;190,20
Psykologia, Joensuu, psykologian kandidaatti ja maisteri (3 v + 2,5 v);76,30;137,30
Ravitsemustiede, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);50,00;171,00
Ruotsin kieli, Joensuu, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);28,00;137,00
Social Sciences, Joensuu, Bachelor of Social Sciences (3 years);27,00;46,50
Sosiaalityö, Kuopio, yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);19,00;125,20
Suomen kieli ja kirjallisuus, Joensuu, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);24,00;127,30
Teknillinen fysiikka, Kuopio, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;12,00;99,50
Tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);25,00;99,90
Tietojenkäsittelytiede, Kuopio, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);22,00;98,50
Varhaiskasvatuksen opettaja, Joensuu, kasvatustieteen kandidaatti (3 v);43,50;90,00
Varhaiskasvatuksen opettaja, Joensuu, kasvatustieteen kandidaatti ja maisteri ( 3 v + 2 v);45,50;91,50
Varhaiskasvatuksen opettaja, kasvatustieteen kandidaatti (3 v), Valtakunnallinen monimuotokoulutus varhaiskasvatuksen tehtävissä toimiville;32,00;69,50
Venäjän kieli, Joensuu, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);3,11;120,10
Väestön terveyden edistäminen, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);55,10;108,50
Yhteiskuntatieteet (sosiaalipsykologia ja hyvinvointi yhteiskunnassa), Kuopio, yhteiskuntatieteiden kandidaatti  ja maisteri (3 v + 2 v);52,37;134,50
Yhteiskuntatieteet (sosiologia, yhteiskuntapolitiikka), Joensuu, yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);46,69;143,80
Ympäristö- ja biotieteet (biologia), Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);16,75;142,00
